sg_uf;nm_operacao;dt_deflagracao;ano;sg_unidade;nr_mpp;nr_mpt;nr_flagrante
RJ;TELHADO DE VIDRO;2008-03-11;2008;SR/PF/RJ;13;0;0
MA;RAPINA II;2008-04-02;2008;SR/PF/MA;13;0;0
MG;PARSÁGADA;2008-04-09;2008;SR/PF/MG;50;0;0
MT;TERMES;2008-04-29;2008;SR/PF/MT;0;64;0
MA;NÊMESIS;2008-05-09;2008;SR/PF/MA;5;0;0
AM;VORAX;2008-05-20;2008;SR/PF/AM;23;0;0
RJ;SEGURANÇA PÚBLICA S/A;2008-05-28;2008;SR/PF/RJ;7;0;0
SE;PASSADIÇO;2008-06-11;2008;SR/PF/SE;19;0;0
AP;TOQUE DE MIDAS;2008-06-11;2008;SR/PF/AP;1;0;1
MG;DE VOLTA PARA PARSÁGADA;2008-06-12;2008;SR/PF/MG;7;8;0
MG;JOÃO-DE-BARRO;2008-06-20;2008;SR/PF/MG;38;0;0
RS;PORTO;2008-06-20;2008;SR/PF/RS;0;0;0
SP;SATIAGRAHA;2008-07-08;2008;SR/PF/SP;24;0;0
MT;DUPLA FACE;2008-08-12;2008;SR/PF/MT;0;35;0
PB;ILICITAÇÃO;2008-08-20;2008;SR/PF/PB;12;0;0
MG;HIPÓCRATES;2008-10-08;2008;SR/PF/MG;3;0;0
SP;DÉJA VU;2008-10-30;2008;SR/PF/SP;16;0;0
RR;ANOPHELES;2008-10-31;2008;SR/PF/RR;10;0;0
ES;NAUFRÁGIO;2008-12-09;2008;SR/PF/ES;8;0;0
BA;VASSOURA DE BRUXA;2008-12-12;2008;SR/PF/BA;0;0;0
PI;HARPIA;2009-01-29;2009;SR/PF/PI;2;0;0
AP;EXÉRESE;2009-03-04;2009;SR/PF/AP;10;0;0
MA;RAPINA III;2009-03-05;2009;SR/PF/MA;27;0;0
SP;PERSISTÊNCIA;2009-03-23;2009;SR/PF/SP;7;0;0
SP;CASTELO DE AREIA;2009-03-25;2009;SR/PF/SP;10;0;0
RS;FREIO DE OURO;2009-04-07;2009;SR/PF/RS;0;0;0
MA;RAPINA IV;2009-04-28;2009;SR/PF/MA;28;0;0
RS;CONTRAMÃO;2009-05-20;2009;DPF/SCS/RS;5;0;0
TO;COVIL;2009-05-26;2009;SR/PF/TO;2;0;0
PB;CIRANDA;2009-05-29;2009;SR/PF/PB;6;0;0
CE;FUMAÇA;2009-06-17;2009;SR/PF/CE;0;0;0
PE;GESTÃO PLENA;2009-06-17;2009;SR/PF/PE;6;0;0
CE;LUXO;2009-06-30;2009;SR/PF/CE;5;0;0
MT;PLUMA;2009-07-03;2009;SR/PF/MT;19;0;0
MS;OWARI;2009-07-07;2009;DPF/DRS/MS;42;0;0
MS;BROTHERS;2009-07-28;2009;DPF/DRS/MS;0;6;0
BA;JUSTA CAUSA;2009-08-05;2009;DPF/PSO/BA;1;0;0
MT;PACENAS;2009-08-10;2009;SR/PF/MT;11;0;0
PA;HIGÉIA;2009-10-21;2009;DPF/MBA/PA;2;0;0
PB;TRANSPARÊNCIA;2009-11-10;2009;SR/PF/PB;20;0;0
MA;ORTHOPTERA;2009-11-17;2009;SR/PF/MA;10;0;0
CE;QUADRILHA;2009-11-25;2009;SR/PF/CE;0;0;0
DF;CAIXA DE PANDORA;2009-11-27;2009;SR/PF/DF;0;0;0
PB;FACHADA;2009-12-01;2009;SR/PF/PB;3;0;0
MG;SAFÁRI III;2009-12-03;2009;SR/PF/MG;21;0;0
CE;GÁRGULA;2009-12-08;2009;SR/PF/CE;15;0;0
RS;PATHOS;2010-01-20;2010;SR/PF/RS;0;0;0
PE;SOMA;2010-02-10;2010;SR/PF/PE;0;0;0
MT;CARTILHA;2010-02-25;2010;SR/PF/MT;0;0;0
RO;SIMULACRO;2010-03-04;2010;SR/PF/RO;2;0;0
